id,session_time_ms,race_time_ms,filename,soc,drive_torque,steer_angle,status,pos_z,pos_x,yaw,pos_y,error_code
44,0,0,frame_000044.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700000,0.000,0.001074,999
45,55,0,frame_000045.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.700000,0.000,-0.000002,999
46,109,0,frame_000046.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.000047,999
47,164,0,frame_000047.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.000171,999
48,218,0,frame_000048.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.000462,999
49,273,0,frame_000049.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.000783,999
50,327,0,frame_000050.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.001093,999
51,382,0,frame_000051.jpg,1.000,0.000,0.000,StartSequence,0.000004,-0.700001,0.000,0.001379,999
52,436,0,frame_000052.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.001642,999
53,491,0,frame_000053.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.001882,999
54,545,0,frame_000054.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.002101,999
55,600,0,frame_000055.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.002300,999
56,655,0,frame_000056.jpg,1.000,0.000,0.000,StartSequence,0.000003,-0.700001,0.000,0.002482,999
57,709,0,frame_000057.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700001,0.000,0.002648,999
58,764,0,frame_000058.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.002799,999
59,818,0,frame_000059.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.002936,999
60,873,0,frame_000060.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.003062,999
61,927,0,frame_000061.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.003176,999
62,982,0,frame_000062.jpg,1.000,0.000,0.000,StartSequence,0.000002,-0.700000,0.000,0.003280,999
63,1036,0,frame_000063.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.700000,0.000,0.003375,999
64,1091,0,frame_000064.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003462,999
65,1145,0,frame_000065.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003541,999
66,1200,0,frame_000066.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003612,999
67,1255,0,frame_000067.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003678,999
68,1309,0,frame_000068.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003738,999
69,1364,0,frame_000069.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699999,0.000,0.003792,999
70,1418,0,frame_000070.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003842,999
71,1473,0,frame_000071.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003887,999
72,1527,0,frame_000072.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003928,999
73,1582,0,frame_000073.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.003965,999
74,1636,0,frame_000074.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004000,999
75,1691,0,frame_000075.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004031,999
76,1745,0,frame_000076.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004059,999
77,1800,0,frame_000077.jpg,1.000,0.000,0.000,StartSequence,0.000001,-0.699998,0.000,0.004085,999
78,1855,0,frame_000078.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004109,999
79,1909,0,frame_000079.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004130,999
80,1964,0,frame_000080.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004150,999
81,2018,0,frame_000081.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004168,999
82,2073,0,frame_000082.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004184,999
83,2127,0,frame_000083.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004199,999
84,2182,0,frame_000084.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004212,999
85,2236,0,frame_000085.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004225,999
86,2291,0,frame_000086.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004236,999
87,2345,0,frame_000087.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004246,999
88,2400,0,frame_000088.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004256,999
89,2455,0,frame_000089.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004264,999
90,2509,0,frame_000090.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004272,999
91,2564,0,frame_000091.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004279,999
92,2618,0,frame_000092.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004285,999
93,2673,0,frame_000093.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004291,999
94,2727,0,frame_000094.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004297,999
95,2782,0,frame_000095.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004301,999
96,2836,0,frame_000096.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004306,999
97,2891,0,frame_000097.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004310,999
98,2945,0,frame_000098.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004314,999
99,3000,0,frame_000099.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004317,999
100,3055,0,frame_000100.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004320,999
101,3109,0,frame_000101.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004323,999
102,3164,0,frame_000102.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004325,999
103,3218,0,frame_000103.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004328,999
104,3273,0,frame_000104.jpg,1.000,0.000,0.000,StartSequence,0.000000,-0.699998,0.000,0.004330,999
