Time_ID,Drive_Torque,Steer_Angle
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0.25,0
76,0.5,0
77,0.5,0
78,0.75,0
79,1,0
80,1,0
81,1,0
82,1,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,0,0.100000001
101,0,0.200000003
102,0,0.300000012
103,0,0.400000006
104,0,0.400000006
105,0.25,0.5
106,0.5,0.600000024
107,0.75,0.600000024
108,0,0.600000024
109,0,0.600000024
110,0.25,0.600000024
111,0.5,0.600000024
112,0.75,0.600000024
113,0.75,0.600000024
114,1,0.600000024
115,1,0.600000024
116,0,0.600000024
117,0,0.600000024
118,0,0.600000024
119,0,0.600000024
120,0.5,0.600000024
121,0.5,0.600000024
122,1,0.600000024
123,0,0.600000024
124,0,0.600000024
125,0,0.600000024
126,0,0.600000024
127,0,0.600000024
128,0.25,0.600000024
129,0.5,0.600000024
130,0,0.600000024
131,0,0.600000024
132,0,0.600000024
133,0,0.600000024
134,0,0
135,0,0
136,0,0
137,0.5,0
138,0.5,0
139,0.75,0
140,1,0
141,1,0
142,0,0.100000001
143,0,0.200000003
144,0,0.200000003
145,0.25,0.300000012
146,0.5,0.400000006
147,0,0.5
148,0.25,0.600000024
149,0.5,0.600000024
150,0,0.600000024
151,0,0.600000024
152,0.25,0.600000024
153,0.25,0.600000024
154,0.5,0.600000024
155,0.75,0.600000024
156,1,0.600000024
157,0,0.600000024
158,0,0.600000024
159,0,0.600000024
160,0,0.600000024
161,0.25,0.600000024
162,0.5,0.600000024
163,0.75,0.600000024
164,1,0.600000024
165,1,0.600000024
166,1,0.600000024
167,0,0.600000024
168,0,0.600000024
169,0,0.600000024
170,0,0.600000024
171,0.25,0.600000024
172,0.5,0.600000024
173,0.75,0.600000024
174,1,0.600000024
175,1,0.600000024
176,0,0.600000024
177,0,0.600000024
178,0,0.600000024
179,0,0.600000024
180,0,0.600000024
181,0,0.600000024
182,0,0.600000024
183,0,0.600000024
184,0,0.600000024
185,0,0
186,0,0
187,0,0
188,0.25,0
189,0.5,0
190,0.75,0
191,1,0
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0.100000001
199,1,0.200000003
200,1,0.300000012
201,1,0.300000012
202,1,0.300000012
203,1,0
204,1,0
205,1,0
206,1,0
207,1,0
208,1,0
209,1,0
210,1,0
211,1,0
212,1,-0.100000001
213,1,-0.100000001
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,1,0
222,1,0
223,1,0
224,1,0
225,1,0
226,1,0
227,1,0
228,1,0
229,1,0
230,1,0
231,1,0
232,1,0
233,1,0
234,1,0
235,1,0
236,0,0
237,0,0.100000001
238,0,0.200000003
239,0,0.300000012
240,0,0.300000012
241,0,0.400000006
242,0,0.5
243,0.25,0.600000024
244,0,0.600000024
245,0,0.600000024
246,0,0.600000024
247,0,0.600000024
248,0,0.600000024
249,0.25,0.600000024
250,0.5,0.600000024
251,0.75,0.600000024
252,0,0.600000024
253,0,0.600000024
254,0,0.600000024
255,0.25,0.600000024
256,0.25,0.600000024
257,0.5,0.600000024
258,0.75,0.600000024
259,1,0.600000024
260,1,0.600000024
261,0,0.600000024
262,0,0.600000024
263,0,0.600000024
264,0.25,0.600000024
265,0.5,0.600000024
266,0.75,0.600000024
267,0,0.600000024
268,0.5,0.600000024
269,0.5,0.600000024
270,0.75,0.600000024
271,1,0.600000024
272,0,0.600000024
273,0,0.600000024
274,0.25,0.600000024
275,0,0.600000024
276,0,0.600000024
277,0,0.600000024
278,0.25,0.600000024
279,0,0.600000024
280,0,0.600000024
281,0.25,0.600000024
282,0,0.600000024
283,0.25,0.600000024
284,0.25,0.600000024
285,0.5,0.600000024
286,0,0.600000024
287,0,0.600000024
288,0.25,0.600000024
289,0.5,0.600000024
290,0.5,0.600000024
291,0.25,0.600000024
292,0.25,0.600000024
293,0,0.600000024
294,0.25,0.600000024
295,0.5,0.600000024
296,0.5,0.600000024
297,0.25,0.600000024
298,0.25,0.600000024
299,0.75,0.600000024
300,0.75,0.600000024
301,1,0.600000024
302,1,0.600000024
303,0,0.600000024
304,0,0.600000024
305,0,0.600000024
306,0,0.600000024
307,0.5,0.600000024
308,0.5,0.600000024
309,0.75,0.600000024
310,0,0.600000024
311,0,0.600000024
312,0,0.600000024
313,0,0.600000024
314,0,0.600000024
315,0.25,0.600000024
316,0.5,0.600000024
317,0,0.600000024
318,0,0.600000024
319,0,0.600000024
320,0,0
321,0,0
322,0,0
323,0,0
324,0.25,0
325,0.5,0
326,0.75,0
327,1,0
328,1,0
329,1,0
330,1,0
331,1,0
332,1,0
333,1,0
334,1,0
335,1,0
336,1,0
337,1,0
338,1,0
339,1,0
340,1,0
341,1,0
342,1,0
343,1,0
344,1,0
345,1,0
346,1,0
347,1,0
348,1,0
349,1,0
350,1,0
351,1,0
352,1,0
353,1,0
354,1,0
355,1,0
356,1,0
357,1,0
358,1,0
359,1,0
360,1,0
361,1,0
362,1,0
363,1,0
364,1,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,0
370,1,0
371,1,0
372,1,0.100000001
373,0,0.200000003
374,0,0.200000003
375,0,0.300000012
376,0.25,0.400000006
377,0.5,0.5
378,0.25,0.600000024
379,0.25,0.600000024
380,0.75,0.600000024
381,0.75,0.600000024
382,1,0.600000024
383,1,0.600000024
384,0,0.600000024
385,0,0.600000024
386,0.25,0.600000024
387,0.25,0.600000024
388,0,0.600000024
389,0,0.600000024
390,0.25,0.600000024
391,0,0.600000024
392,0,0.600000024
393,0.25,0.600000024
394,0,0.600000024
395,0,0.600000024
396,0,0.600000024
397,0.25,0.600000024
398,0,0.600000024
399,0.25,0.600000024
400,0.25,0.600000024
401,0.75,0.600000024
402,0.75,0.600000024
403,1,0.600000024
404,1,0.600000024
405,0,0.600000024
